L14Sat		Luke 16:10-15		266
L14Sun	14th of Luke	Luke 18:35-43		267
L15Mon		Mark 10:46-52		268
L15Tue		Mark 11:11-23		269
L15Wed		Mark 11:22-26		270
L15Thu		Mark 11:27-33		271
L15Fri		Mark 12:1-12		272
L15Sat		Luke 17:3-10		273
L15Sun	15th of Luke	Luke 19:1-10		274
L16Mon		Mark 12:13-17		275
L16Tue		Mark 12:18-27		276
L16Wed		Mark 12:28-37		277
L16Thu		Mark 12:38-44		278
L16Fri		Mark 13:1-8		279
L16Sat		Luke 18:2-8		280
L16Sun	16th of Luke, Sunday of the Publican and the Pharisee	Luke 18:10-14		281
L17Mon		Mark 13:9-13		282
L17Tue		Mark 13:14-23		283
L17Wed		Mark 13:24-31		284
L17Thu		Mark 13:31-14:2		285
L17Fri		Mark 14:3-9		286
L17Sat		Luke 20:46-21:4		287
L17Sun	17th of Luke, Sunday of the Prodigal Son	Luke 15:11-32		288
L18Mon		Mark 11:1-11		289
L18Tue		Mark 14:10-42		290
L18Wed		Mark 14:43-15:1		291
L18Thu		Mark 15:1-15		292
L18Fri		Mark 15:22-25, 33-41		293
L18Sat		Luke 21:8-9, 25-27, 33-36	For the Departed: 1 Thessalonians 4:13-17; John 5:24-30	294
L18Sun	18th of Luke, Meatfare Sunday	Matthew 25:31-46		295
L19Mon		Luke 19:29-40,22:7-39		296
L19Tue		Luke 22:39-42,45-23:1		297
L19Wed				298
L19Thu		Luke 23:2-34, 44-56		299
L19Fri				300
L19Sat		Matthew 6:1-13		301
L19Sun	19th of Luke, Cheesefare Sunday	Matthew 6:14-21		302
G1Mon				303
G1Tue				304
G1Wed				305
G1Thu				306
G1Fri				307
G1Sat		Mark 2:23-3:5		308
G1Sun		John 1:43-51		309
G2Mon				310
G2Tue				311
G2Wed				312
G2Thu				313
G2Fri				314
G2Sat		Mark 1:35-44	For the Departed: 1 Thessalonians 4:13-17; John 5:24-30	315
G2Sun		Mark 2:1-12		316
G3Mon				317
G3Tue				318
G3Wed				319
G3Thu				320
G3Fri				321
